[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,170 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AuditModel' was instrumented for code coverage (methods: total=23, instrumented=22), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:33.684Z] [SEALIGHTS] 2023-04-26 16:50:33,510 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/User' was instrumented for code coverage (methods: total=21, instrumented=20), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:33.684Z] [SEALIGHTS] 2023-04-26 16:50:33,512 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/PermissionType' was instrumented for code coverage (methods: total=7, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.278Z] [SEALIGHTS] 2023-04-26 16:50:33,901 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mybatis/LobEnumHandler' was instrumented for code coverage (methods: total=15, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.278Z] [SEALIGHTS] 2023-04-26 16:50:33,903 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Lob' was instrumented for code coverage (methods: total=7, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.278Z] [SEALIGHTS] 2023-04-26 16:50:33,904 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mybatis/MeasureDataTypeHandler' was instrumented for code coverage (methods: total=14, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.278Z] [SEALIGHTS] 2023-04-26 16:50:33,907 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/MeasureDataType' was instrumented for code coverage (methods: total=7, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.278Z] [SEALIGHTS] 2023-04-26 16:50:33,909 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mybatis/MyBatisInterceptor$1' was instrumented for code coverage (methods: total=2, instrumented=1), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.278Z] [SEALIGHTS] 2023-04-26 16:50:33,912 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mybatis/SchemaTypeHandler' was instrumented for code coverage (methods: total=14, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.278Z] [SEALIGHTS] 2023-04-26 16:50:33,913 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/criteria/InstrumentClassificationCriteria$SchemaType' was instrumented for code coverage (methods: total=7, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:33,916 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AssetClass' was instrumented for code coverage (methods: total=16, instrumented=14), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,022 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AModel$AModelBuilder' was instrumented for code coverage (methods: total=8, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,023 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AModel$AModelBuilderImpl' was instrumented for code coverage (methods: total=5, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,025 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AuditModel$AuditModelBuilder' was instrumented for code coverage (methods: total=15, instrumented=10), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,027 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AVehicle$AVehicleBuilder' was instrumented for code coverage (methods: total=25, instrumented=18), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,029 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Benchmark$BenchmarkBuilder' was instrumented for code coverage (methods: total=19, instrumented=10), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,030 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Benchmark$BenchmarkBuilderImpl' was instrumented for code coverage (methods: total=11, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,039 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Money' was instrumented for code coverage (methods: total=16, instrumented=15), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,041 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AllocationType' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,046 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AssetClassAllocation' was instrumented for code coverage (methods: total=18, instrumented=17), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,050 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/SourceSystemMap' was instrumented for code coverage (methods: total=25, instrumented=23), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,052 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/CustomBenchmark' was instrumented for code coverage (methods: total=17, instrumented=15), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,054 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/MeasureData' was instrumented for code coverage (methods: total=16, instrumented=15), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,062 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/CustomBenchmark$CustomBenchmarkBuilder' was instrumented for code coverage (methods: total=12, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,063 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/CustomBenchmark$CustomBenchmarkBuilderImpl' was instrumented for code coverage (methods: total=9, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,066 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/CustomBenchmarkData' was instrumented for code coverage (methods: total=17, instrumented=15), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,072 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/CustomBenchmarkData$CustomBenchmarkDataBuilder' was instrumented for code coverage (methods: total=12, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.279Z] [SEALIGHTS] 2023-04-26 16:50:34,073 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/CustomBenchmarkData$CustomBenchmarkDataBuilderImpl' was instrumented for code coverage (methods: total=9, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,211 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Vehicle' was instrumented for code coverage (methods: total=18, instrumented=16), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,213 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Vehicle$VehicleBuilder' was instrumented for code coverage (methods: total=15, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,215 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Vehicle$VehicleBuilderImpl' was instrumented for code coverage (methods: total=11, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,232 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Instrument' was instrumented for code coverage (methods: total=67, instrumented=65), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,234 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/InstrumentSourceType' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,237 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Instrument$InstrumentBuilder' was instrumented for code coverage (methods: total=33, instrumented=32), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,254 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/InstrumentMeasureData' was instrumented for code coverage (methods: total=19, instrumented=17), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,259 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/criteria/InstrumentMeasureDataCriteria' was instrumented for code coverage (methods: total=16, instrumented=15), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,261 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/criteria/Criteria' was instrumented for code coverage (methods: total=10, instrumented=9), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,263 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/criteria/Criteria$CriteriaBuilder' was instrumented for code coverage (methods: total=6, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,264 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/criteria/Criteria$CriteriaBuilderImpl' was instrumented for code coverage (methods: total=5, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,265 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/criteria/InstrumentMeasureDataCriteria$InstrumentMeasureDataCriteriaBuilder' was instrumented for code coverage (methods: total=11, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,266 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/criteria/InstrumentMeasureDataCriteria$InstrumentMeasureDataCriteriaBuilderImpl' was instrumented for code coverage (methods: total=7, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,453 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/common/AbstractRestTemplateConfiguration$Type' was instrumented for code coverage (methods: total=6, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,455 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/common/AbstractRestTemplateConfiguration$1' was instrumented for code coverage (methods: total=2, instrumented=1), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:34.552Z] [SEALIGHTS] 2023-04-26 16:50:34,460 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/common/LoggingRequestInterceptor' was instrumented for code coverage (methods: total=7, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,807 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/assetclass/ResolvedAssetClass' was instrumented for code coverage (methods: total=15, instrumented=14), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,811 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/assetclass/ResolvableAssetClass' was instrumented for code coverage (methods: total=16, instrumented=14), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,813 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AssetClassMap' was instrumented for code coverage (methods: total=24, instrumented=23), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,816 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/vehicle/ResolvedVehicle' was instrumented for code coverage (methods: total=15, instrumented=14), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,819 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/criteria/BenchmarkCriteria' was instrumented for code coverage (methods: total=19, instrumented=18), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,823 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/coregrid/model/data/CoreGridAssetClassAllocation' was instrumented for code coverage (methods: total=12, instrumented=11), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,827 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/coregrid/model/data/CoreGridTreeNode' was instrumented for code coverage (methods: total=22, instrumented=21), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,829 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/coregrid/model/data/CoreGridVehicleAllocation' was instrumented for code coverage (methods: total=12, instrumented=11), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,887 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/coremodel/model/data/Portfolio' was instrumented for code coverage (methods: total=16, instrumented=15), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,922 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/vehicle/ResolvableVehicle' was instrumented for code coverage (methods: total=30, instrumented=29), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,925 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/key/SourceSystemMapKey' was instrumented for code coverage (methods: total=6, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:34,928 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/vehicle/VehicleResolutionCriteria' was instrumented for code coverage (methods: total=12, instrumented=11), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:35.157Z] [SEALIGHTS] 2023-04-26 16:50:35,040 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/assetclass/AssetClassResolutionCriteria' was instrumented for code coverage (methods: total=12, instrumented=11), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:39.497Z] [SEALIGHTS] 2023-04-26 16:50:39,314 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/ignite/JcacheCachePerformanceLoggingWrapper' was instrumented for code coverage (methods: total=33, instrumented=32), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:39.497Z] [SEALIGHTS] 2023-04-26 16:50:39,326 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/betamodel/service/model/ClassInfoToIndex' was instrumented for code coverage (methods: total=36, instrumented=35), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,035 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/User$UserBuilder' was instrumented for code coverage (methods: total=15, instrumented=8), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,037 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/User$UserBuilderImpl' was instrumented for code coverage (methods: total=9, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,044 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AssetClass$AssetClassBuilder' was instrumented for code coverage (methods: total=10, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,045 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AssetClass$AssetClassBuilderImpl' was instrumented for code coverage (methods: total=7, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,048 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/MeasureData$MeasureDataBuilder' was instrumented for code coverage (methods: total=13, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,049 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/MeasureData$MeasureDataBuilderImpl' was instrumented for code coverage (methods: total=9, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,052 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/VehicleHolding$VehicleHoldingBuilder' was instrumented for code coverage (methods: total=24, instrumented=17), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,053 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/VehicleHolding$VehicleHoldingBuilderImpl' was instrumented for code coverage (methods: total=9, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,057 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AssetClassAllocation$AssetClassAllocationBuilder' was instrumented for code coverage (methods: total=14, instrumented=7), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,058 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AssetClassAllocation$AssetClassAllocationBuilderImpl' was instrumented for code coverage (methods: total=9, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,060 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/SourceSystemMap$SourceSystemMapBuilder' was instrumented for code coverage (methods: total=16, instrumented=9), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,061 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/SourceSystemMap$SourceSystemMapBuilderImpl' was instrumented for code coverage (methods: total=9, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,062 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/SourceSystemMap$MappedSourceType' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,062 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/SourceSystem' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.497Z] [SEALIGHTS] 2023-04-26 16:50:40,068 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Money$MoneyBuilder' was instrumented for code coverage (methods: total=7, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.498Z] [SEALIGHTS] 2023-04-26 16:50:40,069 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Money$MoneyBuilderImpl' was instrumented for code coverage (methods: total=5, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:40.501Z] [SEALIGHTS] 2023-04-26 16:50:40,235 INFO  [1531|main        |001] i.s.o.a.e.AgentEventsController : Failed instrument for code coverage class 'com/jpmorgan/awm/dpi/model/data/UserMethodAccess', exception at class io.sealights.onpremise.agents.testlistener.codecoverage.CustomerClassTransformer : java.lang.IllegalArgumentException
